Headline,,scope,category
এনবিআরে কর্মবিরতি স্থগিত,,national,business
নির্বাহী বিভাগের আয়ত্তে যাওয়ার ঝুঁকিতে রাজস্ব ব্যবস্থাপনা: টিআইবি,,national,business
দেশে ৩০ লাখ মানুষ নতুন করে দরিদ্র হতে পারে: বিশ্বব্যাংক,,national,business
"কর্মসূচি স্থগিত, শুক্রবার থেকে জুয়েলারি প্রতিষ্ঠান খোলা",,national,business
ঈদে বাজারে আসছে নতুন টাকা,,national,business
বরাদ্দ বাড়ল ধর্ম মন্ত্রণালয়ে,,national,business
বিশ্ববাজারে বাড়ছে সোনার দাম,,national,business
"বৈদেশিক ঋণে ধাক্কা, ২০ হাজার কোটি টাকা কাটছাঁটের শঙ্কা",,national,business
ব্যবসা টেকাতে হলে সুদের হার কমাতেই হবে,,national,business
৫ বিলিয়ন মার্কিন ডলার বিনিয়োগ হারানোর শঙ্কা,,national,business
কেন্দ্রীয় ব্যাংকের ডেপুটি গভর্নর নিয়োগে চার সদস্যের সার্চ কমিটি গঠন,,national,business
সয়াবিনের পর অস্থির হচ্ছে ছোলার বাজার,,national,business
রিজার্ভ কমেছে ১৩০ কোটি ডলার,,national,business
ঋণের কিস্তি ও সুদ বোঝা হয়ে গেছে: এনবিআর চেয়ারম্যান,,national,business
"বাংলাদেশ ব্যাংকে বড় রদবদল, ৮৫ কর্মকর্তাকে একযোগে বদলি",,national,business
অভিযোগ জানাতে শ্রমিকদের জন্য হেল্প লাইন চালু,,national,business
টাকার নতুন নকশায় বাদ পড়তে পারে শেখ মুজিবের ছবি,,national,business
বিনিয়োগের নীতিমালা আংশিক শিথিল,,national,business
ভোক্তার আয়ের চেয়ে ব্যয় ২ শতাংশ বেশি,,national,business
খেলাপি ঋণ ছাড়াল ২ লাখ ১১ হাজার কোটি টাকা,,national,business
সাবেক ভূমিমন্ত্রীর কবল থেকে ইউসিবি ব্যাংক রক্ষার দাবি,,national,business
সোনালী-রূপালীসহ ১০ ব্যাংক পেল নতুন এমডি-সিইও,,national,business
বিদেশি পর্যবেক্ষক দিয়ে ব্যাংকের সম্পদ মূল্যায়ন,,national,business
"ওষুধ, রেস্তোরাঁ ও মোবাইল ফোনসহ যেসব পণ্য ও সেবায় ভ্যাট কমল",,national,business
কালোটাকা সাদা করার বিধান বাতিল,,national,business
বাংলাদেশকে সস্তায় গরুর মাংস দিতে চায় ব্রাজিল,,national,business
বিদেশ থেকে পদত্যাগপত্র পাঠালেন এবি ব্যাংকের এমডি,,national,business
মূলধনি মুনাফায় কর কমানো জরুরি,,national,business
ভ্যাট বৃদ্ধি ও গ্যাসের মূল্যবৃদ্ধির উদ্যোগ আত্মঘাতী: ডিসিসিআই,,national,business
অর্থবছরের চার মাস: প্রবাসীদের পাঠানো রেমিট্যান্স বেড়েছে ২৪ শতাংশ,,national,business
পরীক্ষিত বন্ধু হারিয়েছে পোশাক খাত,,national,business
তরুণদের আর্থিক অন্তর্ভুক্তিতে পুরস্কার পেল বাংলাদেশ ব্যাংক,,national,business
রিহ্যাব থেকে ডোম-ইনোকে বহিষ্কারের দাবি,,national,business
আ.লীগ শাসনামলে বছরে পাচার ১৪ বিলিয়ন ডলার,,national,business
গ্যাস শিক্ষা ও স্বাস্থ্য খাতে অগ্রাধিকার দেওয়া হবে,,national,business
শিল্প-ব্যবসায় করের বোঝা বাড়ল,,national,business
সাড়ে ৪ কোটি পিস ডিম আমদানির অনুমোদন দিল সরকার,,national,business
জলবায়ুতে ১০০ কোটি টাকা থোক বরাদ্দ,,national,business
এস আলমের ৯৯৪৮ কোটি টাকা আদায়ে ১১ একর জমি-কারখানার নিলাম,,national,business
ঢাকা আন্তর্জাতিক বাণিজ্যমেলা: শুধু শিশু পার্কে মেলার আমেজ,,national,business
চ্যালেঞ্জে দেশের অর্থনীতি,,national,business
রিজার্ভ বেড়ে পৌনে ২১ বিলিয়ন ডলার,,national,business
উড়োজাহাজ লিজ-ভাড়ায় ভ্যাট অব্যাহতির প্রস্তাব,,national,business
সবার ন্যূনতম আয়কর ৫ হাজার টাকা,,national,business
প্রস্তাবিত বাজেট ঘাটতি ২ লাখ ২৬ হাজার কোটি টাকা,,national,business
"রোজা ঘিরে চাহিদার বেশি পণ্য আমদানি, কমছে না দাম",,national,business
অগ্রণী ব্যাংকে নতুন চেয়ারম্যান নিয়োগ,,national,business
ইলেকট্রিক গাড়ি শিল্পকে উৎসাহিত করতে সহায়তার আহ্বান বিশেষজ্ঞদের,,national,business
করাচি থেকে আসা পণ্যবাহী জাহাজ চট্টগ্রাম বন্দরে,,national,business
কেজিতে পেঁয়াজের দাম কমল ১৫ টাকা,,national,business
পুঁজিবাজারে ধস ফেরাতে করের বিধান প্রত্যাহারের দাবি,,national,business
ডলারের দাম বাড়ছে,,national,business
‘সরকারিভাবে সয়াবিন তেলের দাম আরও বাড়ানোর পাঁয়তারা’,,national,business
প্রথমবারের মতো ‘ছোট বাজেট’,,national,business
খণ্ডকালীন চাকরিতে উদ্যোক্তা হওয়ার স্বপ্ন শিক্ষার্থীদের,,national,business
বৈদেশিক ঋণ বেড়েছে ৫৬৮ কোটি ডলার,,national,business
কাঁচামরিচের কেজি ৪০০ টাকা!,,national,business
অর্থনীতিতে ভূমিকা রাখতে ব্যর্থ হয়েছে পুঁজিবাজার,,national,business
অর্থ আত্মসাৎ: বাংলাদেশ ব্যাংকের ১৭ কর্মকর্তাকে দুদকের তলব,,national,business
সাড়ে ১২ কোটি পিস প্রিন্টের প্রস্তাব অনুমোদন,,national,business
নতুন উদ্যোক্তাদের জন্য ৯০০ কোটি টাকার তহবিল গঠন : গভর্নর,,national,business
আসছে ৪ ধরনের নোট: মুজিবের ছবির পরিবর্তে থাকছে বিপ্লবের গ্রাফিতি,,national,business
চাপ প্রয়োগে বেনামি ঋণ ৩৮ হাজার কোটি টাকা,,national,business
বাংলাদেশ ব্যাংকের সাবেক দুই কর্মকর্তাকে গ্রেফতারের দাবি,,national,business
হোটেল-রেস্তোরাঁয় ভ্যাট নিয়ে নতুন সিদ্ধান্ত,,national,business
নজরুল ইসলাম মজুমদারের ব্যাংক হিসাব জব্দ,,national,business
ভোমরা শুল্ক স্টেশনে রপ্তানি বেড়েছে পৌনে ৩০০ কোটি টাকা,,national,business
"টেসলার স্টকে বড় ধাক্কা, ১৯.২ শতাংশ কমেছে মাস্কের সম্পত্তি",,national,business
সর্বাধুনিক প্রযুক্তির দেশসেরা ব্র্যান্ড যমুনা এসি,,national,business
ব্যাংকের সুদহার নিয়ে গভর্নরের কড়া বার্তা,,national,business
"বাংলাদেশি ক্রেডিট কার্ডের ব্যবহার বাড়ছে থাইল্যান্ডে, কমছে ভারতে",,national,business
হাসিনা পালানোর পর রাসেলস ভাইপারও চলে গেছে: বাণিজ্য উপদেষ্টা,,national,business
শ্রমিকদের বেতন দিতে সহজ শর্তে ঋণ চায় বিটিএমএ,,national,business
ব্যাংকের ঋণমান নেতিবাচক করল মুডিস,,national,business
স্বল্প সময়ে ব্যাংকের তারল্য সংকটের সমাধান হবে,,national,business
দুবাই লন্ডন ও সৌদিতে অঢেল সম্পদ নজরুলের,,national,business
বাজেট নিয়ে বিএনপি প্রতিক্রিয়া জানাবে বুধবার,,national,business
ফের অস্থির ডলার বাজার,,national,business
দেশে পেপ্যালসহ আন্তর্জাতিক পেমেন্ট গেটওয়ে চালুর দাবি,,national,business
চট্টগ্রামে বে টার্মিনালের অবকাঠামো উন্নয়নসহ ১৪ প্রকল্প অনুমোদন,,national,business
"৯০ দিনে খেলাপি ঋণ বেড়েছে ৭৩,৫৮৬ কোটি টাকা",,national,business
সূচকের উত্থানে চলছে লেনদেন,,national,business
"টিসিবির ৩৭ লাখ দ্বৈত কার্ড বাতিল, চালের দাম বৃদ্ধি ‘সাময়িক’",,national,business
এবার ঋণখেলাপি বেক্সিমকো গ্রুপ,,national,business
ঋণের কিস্তি পরিশোধে সময় চান ব্যবসায়ীরা,,national,business
দাম কমবে চিনি ও সয়াবিন তেলের,,national,business
শেষ মুহূর্তে বেচাকেনায় ব্যস্ত আন্তর্জাতিক বাণিজ্যমেলা,,national,business
এস আলমের ৭ ভাইসহ ১৩ জনের ব্যাংক হিসাব তলব,,national,business
বিএফআইইউর সাবেক প্রধান মাসুদ বিশ্বাস গ্রেফতার,,national,business
এনবিআরে মঙ্গলবার অবস্থান কর্মসূচি,,national,business
সংকটে থাকা ব্যাংকগুলোতে তারল্যের জোগান বেড়েছে,,national,business
বাড়ল সয়াবিন তেলের দাম,,national,business
"বাংলাদেশ ব্যাংকে বিক্ষোভ, দুই ডেপুটি গভর্নরের পদত্যাগ দাবি",,national,business
একদিনের বেতনের অর্থ বন্যার্তদের দেবেন ইউএস-বাংলার কর্মীরা,,national,business
বাজেটের মৌলিক জায়গায় গলদ: আমির খসরু,,national,business
নাসার সঙ্গে ‘আর্টেমিস অ্যাকর্ডস’ চুক্তি সই করল বাংলাদেশ,,national,business
খেলাপি ঋণ নিয়েও হাসিনা সরকারের ‘চালবাজি’,,national,business
"ইসলামী ব্যাংকগুলোতে তারল্য সংকট কী কারণে, জানাল কেন্দ্রীয় ব্যাংক",,national,business
৬০ কোটি ডলার বাজেট সহায়তা অনুমোদন দিল এডিবি,,national,business
মে’র ১৭ দিনে রেমিট্যান্স এলো ১৯৬৪২ কোটি টাকা,,national,business
"ব্যাংকে নগদ টাকার সংকট, বেড়েছে কলমানির সুদ",,national,business
আগামীকাল শুরু হচ্ছে অর্থনৈতিক শুমারির তথ্য সংগ্রহ,,national,business
ব্যাংকখেকো নাসা নজরুল,,national,business
রিজার্ভ আরও বাড়ল,,national,business
ঈদের ছুটিতে অর্থনীতি চালু থাকবে: অর্থ উপদেষ্টা,,national,business
ধান মজুতে অস্থির চালের বাজার,,national,business
৪ দাবিতে লাগাতার অসহযোগ কর্মসূচির ঘোষণা এনবিআর কর্মকর্তাদের,,national,business
সংস্কারের আওতায় তামাক আইন শক্তিশালী করা হবে,,national,business
কালোটাকা সাদা করার সুযোগ বাতিল,,national,business
ফের সোনার দামে নতুন রেকর্ড,,national,business
আরব আমিরাতে ছয় শিল্প গ্রুপের সম্পদের সন্ধান,,national,business
২০২৫-২৬ অর্থবছরের বাজেট হতাশার: দেবপ্রিয়,,national,business
অবশেষে সাংবাদিক প্রবেশে নিষেধাজ্ঞা তুলে নিল বাংলাদেশ ব্যাংক,,national,business
‘বাটা ইসরাইলি কোম্পানি নয়’,,national,business
রোজায় বাজার সহনশীল রাখার চেষ্টা করা হবে: বাণিজ্য উপদেষ্টা,,national,business
লুটপাটে ভঙ্গুর দেশের আর্থিক খাত,,national,business
এডিপি থেকে বাদ গেল ৪৯ হাজার কোটি টাকার বরাদ্দ,,national,business
কর ফাঁকি ১৮ হাজার কোটি টাকা,,national,business
"শেয়ারবাজারে বড় দরপতন, বিক্ষোভ বিনিয়োগকারীদের",,national,business
সৌদি সফরে সিরিয়ার উচ্চপর্যায়ের প্রতিনিধিদল,,national,business
গাজীপুরে ষষ্ঠ দিনের মতো অচল সড়ক,,national,business
প্রবৃদ্ধির পূর্বাভাস কমালেও দীর্ঘমেয়াদে আশাবাদী বিশ্বব্যাংক,,national,business
এসির চাহিদা আগের চেয়ে বেড়েছে,,national,business
ভারতীয় পেঁয়াজ বিক্রি হচ্ছে ২০ টাকায়!,,national,business
শ্বেতপত্র কী ও কেন?,,national,business
আমাকে জোর করে পদত্যাগপত্রে সই করানো হয়েছিল: ইসলামী ব্যাংকের সাবেক এমডি,,national,business
"বিজিএমইএ নির্বাচনের ভোটগ্রহণ শেষ, ফলের অপেক্ষা",,national,business
ডলারের হিসাবে ঘাটতি কমেছে ৩৮ হাজার ৬৭৮ কোটি টাকা,,national,business
এস আলম ও নাবিল গ্রুপের ১১৪৪ কোটি টাকা জালিয়াতি,,national,business
২০০০ কোটি টাকা ছাড়ের সুফল পাচ্ছে না জনগণ,,national,business
১৫ বছরের পাচারের টাকা দিয়ে ৭৮টি পদ্মা সেতু করা যেত,,national,business
"রেমিট্যান্সে গতি, ২৪ দিনে এলো ২২৫ কোটি ডলার",,national,business
কেন্দ্রীয় ব্যাংকের নতুন মুখপাত্র হুসনে আরা শিখা,,national,business
দেশি এসিতে স্বপ্নপূরণ,,national,business
রাজস্ব বাড়ানোর শর্তে কঠোর আইএমএফ,,national,business
জুলাই মাসের জ্বালানি তেলের দাম নির্ধারণ,,national,business
রিজার্ভ নিয়ে সুখবর দিলেন বাংলাদেশ ব‌্যাংকের কর্মকর্তা,,national,business
"দুর্বল ব্যাংককে সহায়তা, শীর্ষে সোনালী",,national,business
আবারও সোনার দাম বাড়ল,,national,business
প্রতিবাদের পরও বিদেশিদের হাতে যাচ্ছে চট্টগ্রাম বন্দর,,national,business
দুর্বল ব্যাংকের গ্রাহকরা টাকা ফেরত পাবেন: গভর্নর,,national,business
আগাম ডলার বেচাকেনার নীতিমালা শিথিল,,national,business
"মঙ্গলবার ব্যাংক হলিডে, লেনদেন বন্ধ",,national,business
জেলায় ৭০টি কারিগরি প্রশিক্ষণ কেন্দ্র নির্মাণের পরিকল্পনা,,national,business
রাজনৈতিক ব্যাংক ভেঙে পড়ছে,,national,business
ব্যাংক লেনদেনের ৮৪ শতাংশই ডিজিটালি হচ্ছে,,national,business
ফেব্রুয়ারির ২২ দিনে এলো ২৩ হাজার ৭৩৮ কো‌টি টাকার রেমিট্যান্স,,national,business
মৌসুমী নুসরাত সাবিলা নূরসহ ২৫ তারকার ব্যাংক অ্যাকাউন্ট জব্দ,,national,business
অনলাইনে রিটার্ন জমা বাধ্যতামূলক হচ্ছে: এনবিআর চেয়ারম্যান,,national,business
আমদানি বাড়লেও চালের বাজারে অস্থিরতা,,national,business
ভারত থেকে এলো ২ লাখ ৩১ হাজার ডিম,,national,business
ভবিষ্যতে কেউ টাকা পাচার করলে কী হবে জানালেন অর্থ উপদেষ্টা,,national,business
করপোরেট করের শর্ত শিথিল,,national,business
এ বছর দেশের জিডিপি প্রবৃদ্ধি ৩.৮% হতে পারে: আইএমএফ,,national,business
ব্যাংক খাত সংস্কারে ১৫০ কোটি মার্কিন ডলার দেবে এডিবি,,national,business
প্রয়োজনে যে কোনো ব্যাংক সরকারি নিয়ন্ত্রণে নেওয়ার সুযোগ,,national,business
বাজেটে জিডিপি প্রবৃদ্ধি লক্ষ্যমাত্রা ৫.৫ শতাংশ,,national,business
সরকারি পর্যায়ে ফেরত দিতে নানা তৎপরতা,,national,business
কুরবানির হাটে জাল টাকা চেনার উপায়,,national,business
ভিয়েতনাম ও ভারত থেকে আনা চাল খালাস শুরু,,national,business
সিডনিতে যমুনা গ্রুপ পরিচালকের সঙ্গে এবিবিএফ সভাপতির সৌজন্য সাক্ষাৎ,,national,business
স্বচ্ছ-জবাবদিহিমূলক বিজিএমইএ গড়তে কাজ করবে ফোরাম জোট,,national,business
"সবচেয়ে বেশি বেনামি ঋণ নিয়েছে এস আলম গ্রুপ, দ্বিতীয় বেক্সিমকো",,national,business
অনলাইনে রিটার্ন দাখিল ৫ লাখ ছাড়াল,,national,business
"রেমিট্যান্স প্রবাহ বেড়েছে, ডিসেম্বরের ২৮ দিনে এলো ২৪২ কোটি ডলার",,national,business
চিনি আমদানিতে শুল্ক কমাল এনবিআর,,national,business
দুবাই থেকে আমাদের টাকার মান নির্ণয় হবে না: গভর্নর,,national,business
বাংলাদেশে কাজ করা ৬ লাখ বিদেশি ফাঁকি দিচ্ছেন ১৮ হাজার কোটি টাকা,,national,business
আতিউর-বারকাতসহ ২৩ জনের বিরুদ্ধে মামলা,,national,business
দেশের ইতিহাসে রেকর্ড রেমিট্যান্স এলো ফেব্রুয়ারিতে,,national,business
পুরোদমে ব্যাংক ও বন্দর চালুর নির্দেশ,,national,business
সেতু বিভাগের জন্য ৬ হাজার ১২ কোটি টাকা বরাদ্দের প্রস্তাব,,national,business
বাংলাদেশ ব্যাংকে সরকারের হস্তক্ষেপ বন্ধ চায় আইএমএফ,,national,business
স্থানীয় সরকার খাতে ৪২ হাজার ৪৩৩ কোটি টাকা বরাদ্দের প্রস্তাব,,national,business
সবুজ অর্থায়ন ও নগর উন্নয়নে ১১ হাজার কোটি টাকা ঋণ,,national,business
বস্ত্র ও পাট খাতে ৪৮০ কোটি বরাদ্দের প্রস্তাব,,national,business
সাড়ে ৬ হাজার কোটি টাকা বৃদ্ধি খতিয়ে দেখা হচ্ছে,,national,business
সাবেক ১১ মন্ত্রী এমপিসহ ৩১ জনের সম্পদের তথ্য চায় অন্তর্বর্তী সরকার,,national,business
সাবেক স্পিকার শিরীন শারমিন ও স্বামী–সন্তানের ব্যাংক হিসাব তলব,,national,business
চার প্রকল্পে ১৩৪ কোটি ডলার দিচ্ছে এডিবি,,national,business
"অনুমোদন ২৪২০, ভারতে গেল ৫৩২ টন ইলিশ",,national,business
ইসলামী ব্যাংকের বোর্ড ভেঙে দেওয়া হবে: গভর্নর,,national,business
কারফিউ শিথিলে রাজধানীতে কমছে পণ্যের দাম,,national,business
সোনার দাম ফের কমল,,national,business
যেসব পণ্যের দাম কমতে পারে,,national,business
রিজার্ভ বেড়ে ২০ বিলিয়ন ডলার ছাড়াল,,national,business
বুধবার থেকে ৬৪ জেলায় মিলবে টিসিবির পণ্য,,national,business
সুদহার ৫০ বেসিস পয়েন্ট বেড়ে হচ্ছে ৯ শতাংশ,,national,business
"ফের চট্টগ্রাম বন্দরে পাকিস্তানি জাহাজ, কি কি আছে কন্টেইনারে?",,national,business
আমদানিতে ডলারের দাম বেড়ে ১২৩ টাকা,,national,business
আইন ও বিচার বিভাগে বরাদ্দ বাড়ছে ২৪৫ কোটি টাকা,,national,business
১৮ দিনে রেমিট্যান্স এলো ১৪ হাজার ৭২৪ কোটি টাকা,,national,business
মুডিসের ঋণমান কমানোর প্রতিক্রিয়ায় যা বলল বাংলাদেশ ব্যাংক,,national,business
যেসব কারণে স্বর্ণে বিনিয়োগ সবচেয়ে নিরাপদ,,national,business
‘১৫ বছরে আওয়ামী সরকার ঋণ করেছে সাড়ে ১৫ লাখ কোটি টাকার বেশি’,,national,business
সরকারকে বৃদ্ধাঙ্গুলি দেখাচ্ছে ডিম ব্যবসায়ীরা,,national,business
যুক্তরাষ্ট্রের সঙ্গে সংলাপের আগে শতাধিক পণ্যে শুল্ক ছাড়,,national,business
ফেব্রুয়ারিতে রিজার্ভ বাড়ল,,national,business
ঈদের আগে আজ শেষ ব্যাংকিং লেনদেন,,national,business
সুবিধা পাচ্ছেন না প্রাতিষ্ঠানিক বিনিয়োগকারীরা,,national,business
খসড়া অধ্যাদেশে কাস্টমসের মতামত প্রতিফলিত হয়নি,,national,business
দরজা খোলা ছিল অর্থ পাচারের,,national,business
হাইকোর্টের দুই বিচারপতিকে আপিল বিভাগে নিয়োগ,,national,business
"নিত্যপ্রয়োজনীয় খাবার বিস্কুট ও ব্রেডে বাড়তি ভ্যাট, বাজেট সংশোধনের আহ্বান",,national,business
জালিয়াতির মামলায় ইসলামী ব্যাংকের সাবেক এমডি গ্রেফতার,,national,business
মার্চে জ্বালানি তেলের দাম নির্ধারণ,,national,business
